"sample_name","embryo_no","embryo_phase","status","notes"
"5L4",1,"egg","typical",NA
"5L4",2,"egg","typical",NA
"5L4",3,"egg","typical",NA
"5L4",4,"egg","typical",NA
"5L4",5,"egg","typical",NA
"5L4",6,"egg","typical",NA
"5L4",7,"egg","typical",NA
"5L4",8,"egg","typical",NA
"5L4",9,"cleavage","typical",NA
"5L4",10,"egg","typical",NA
"5L4",11,"egg","typical",NA
"5L4",12,"cleavage","typical",NA
"5L4",13,"egg","typical",NA
"5L4",14,"egg","typical",NA
"5L4",15,"cleavage","typical",NA
"5L4",16,"egg","typical",NA
"5L4",17,"egg","typical",NA
"5L4",18,"egg","typical",NA
"5L4",19,"cleavage","typical",NA
"5L4",20,"egg","typical",NA
"5L4",21,"egg","typical",NA
"5L4",22,"egg","typical",NA
"5L4",23,"egg","typical",NA
"5L4",24,"egg","typical",NA
"5L4",25,"egg","typical",NA
"5L4",26,"egg","typical",NA
"5L4",27,"egg","typical",NA
"5L4",28,"egg","typical",NA
"5L4",29,"egg","typical",NA
"5L4",30,"egg","typical",NA
