"sample_name","embryo_no","embryo_phase","status","notes"
"6L9",1,"prawnchip","typical",NA
"6L9",2,"prawnchip","typical",NA
"6L9",3,"prawnchip","typical",NA
"6L9",4,"prawnchip","typical",NA
"6L9",5,"prawnchip","typical",NA
"6L9",6,"prawnchip","typical",NA
"6L9",7,"prawnchip","typical",NA
"6L9",8,"prawnchip","typical",NA
"6L9",9,"prawnchip","typical",NA
"6L9",10,"prawnchip","typical",NA
"6L9",11,"prawnchip","typical",NA
"6L9",12,"prawnchip","typical",NA
"6L9",13,"prawnchip","typical",NA
"6L9",14,"prawnchip","typical",NA
"6L9",15,"prawnchip","typical",NA
"6L9",16,"prawnchip","typical",NA
"6L9",17,"32to64cell","typical",NA
"6L9",18,"32to64cell","typical",NA
"6L9",19,"prawnchip","typical",NA
"6L9",20,"prawnchip","typical",NA
