"sample_name","embryo_no","embryo_phase","status","notes"
"6M9",1,"prawnchip","typical",NA
"6M9",2,"prawnchip","typical",NA
"6M9",3,"prawnchip","typical",NA
"6M9",4,"prawnchip","typical",NA
"6M9",5,"prawnchip","typical",NA
"6M9",6,"prawnchip","typical",NA
"6M9",7,"prawnchip","typical",NA
"6M9",8,"prawnchip","typical",NA
"6M9",9,"prawnchip","typical",NA
"6M9",10,"prawnchip","typical",NA
"6M9",11,"prawnchip","uncertain","torn"
"6M9",12,"egg","uncertain","disintegrating"
"6M9",13,"egg","typical",NA
"6M9",14,"prawnchip","typical",NA
"6M9",15,"prawnchip","typical",NA
"6M9",16,"egg","typical",NA
"6M9",17,"prawnchip","typical",NA
"6M9",18,"prawnchip","uncertain","torn"
"6M9",19,"prawnchip","typical",NA
"6M9",20,"prawnchip","typical",NA
"6M9",21,"prawnchip","uncertain","torn"
"6M9",22,"egg","uncertain","disintegrating"
"6M9",23,"prawnchip","typical",NA
"6M9",24,"32to64cell","typical",NA
"6M9",25,"32to64cell","typical",NA
"6M9",26,"egg","typical",NA
"6M9",27,"egg","uncertain","disintegrating"
"6M9",28,"prawnchip","typical",NA
