"sample_name","embryo_no","embryo_phase","status","notes"
"7C4",1,"egg","typical",NA
"7C4",2,"egg","typical",NA
"7C4",3,"egg","typical",NA
"7C4",4,"egg","typical",NA
"7C4",5,"egg","typical",NA
"7C4",6,"egg","typical",NA
"7C4",7,"egg","typical",NA
"7C4",8,"egg","typical",NA
"7C4",9,"egg","typical",NA
"7C4",10,"egg","typical",NA
"7C4",11,"egg","typical",NA
"7C4",12,"egg","typical",NA
"7C4",13,"egg","typical",NA
"7C4",14,"egg","typical",NA
"7C4",15,"egg","typical",NA
"7C4",16,"egg","typical",NA
"7C4",17,"egg","typical",NA
"7C4",18,"egg","typical",NA
"7C4",19,"egg","typical",NA
"7C4",20,"egg","typical",NA
"7C4",21,"egg","typical",NA
"7C4",22,"egg","typical",NA
"7C4",23,"egg","typical",NA
"7C4",24,"egg","typical",NA
"7C4",25,"egg","typical",NA
