"sample_name","embryo_no","embryo_phase","status","notes"
"7H4",1,"egg","typical",NA
"7H4",2,"egg","typical",NA
"7H4",3,"egg","typical",NA
"7H4",4,"egg","typical",NA
"7H4",5,"egg","typical",NA
"7H4",6,"egg","typical",NA
"7H4",7,"egg","typical",NA
"7H4",8,"egg","typical",NA
"7H4",9,"egg","typical",NA
"7H4",10,"egg","typical",NA
"7H4",11,"egg","typical",NA
"7H4",12,"egg","typical",NA
"7H4",13,"egg","typical",NA
"7H4",14,"egg","typical",NA
"7H4",15,"egg","typical",NA
"7H4",16,"egg","typical",NA
"7H4",17,"egg","typical",NA
"7H4",18,"egg","typical",NA
"7H4",19,"egg","typical",NA
"7H4",20,"egg","typical",NA
"7H4",21,"egg","typical",NA
"7H4",22,"egg","typical",NA
"7H4",23,"egg","typical",NA
"7H4",24,"egg","typical",NA
"7H4",25,"egg","typical",NA
"7H4",26,"egg","typical",NA
"7H4",27,"egg","typical",NA
"7H4",28,"egg","typical",NA
"7H4",29,"egg","typical",NA
"7H4",30,"egg","typical",NA
"7H4",31,"egg","typical",NA
