"sample_name","embryo_no","embryo_phase","status","notes"
"8C4",1,"cleavage","typical","incomplete"
"8C4",2,"cleavage","typical",NA
"8C4",3,"egg","typical",NA
"8C4",4,"cleavage","typical",NA
"8C4",5,"4to16cell","typical",NA
"8C4",6,"4to16cell","typical",NA
"8C4",7,"egg","typical",NA
"8C4",8,"4to16cell","typical",NA
"8C4",9,"cleavage","typical",NA
"8C4",10,"4to16cell","typical",NA
"8C4",11,"4to16cell","typical",NA
"8C4",12,"egg","typical",NA
"8C4",13,"egg","typical",NA
"8C4",14,"cleavage","typical",NA
"8C4",15,"cleavage","typical",NA
"8C4",16,"4to16cell","typical",NA
"8C4",17,"4to16cell","typical",NA
"8C4",18,"egg","typical",NA
"8C4",19,"egg","typical",NA
"8C4",20,"cleavage","typical",NA
"8C4",21,"egg","typical",NA
"8C4",22,"4to16cell","typical",NA
"8C4",23,"egg","typical",NA
"8C4",24,"egg","typical",NA
"8C4",25,"egg","typical",NA
"8C4",26,"cleavage","typical",NA
"8C4",27,"cleavage","typical",NA
