date,parent_colony_a,parent_colony_b,cross_n,scint,leach_code,leachate,phase,hpf,fix_freeze,destiny,sample_id,cryo-tag label color,scint,cryo,cryo-degraded,micro,micro-degraded,cross-note,extracted?,extraction-date,extraction-note,microscopy-stitched,microscopy-note,annotated?
7/5/2024,H,M,1,5,C,control,cleavage,4,F,freeze,1C4F,yellow green,fin!,filled with sample,,filled with sample,,,TRUE,14-Aug-2024,,,,
7/5/2024,H,M,1,6,L,low,cleavage,4,F,freeze,1L4F,yellow green,fin!,filled with sample,,filled with sample,,,TRUE,16-Aug-2024,,,,
7/5/2024,H,M,1,7,M,mid,cleavage,4,F,freeze,1M4F,yellow green,fin!,filled with sample,,filled with sample,,,TRUE,14-Aug-2024,,,,
7/5/2024,H,M,1,8,H,high,cleavage,4,F,freeze,1H4F,yellow green,fin!,filled with sample,,filled with sample,,,TRUE,19-Aug-2024,,,,
7/5/2024,H,M,1,13,C,control,prawn,9,F,freeze,1C9F,dark purple,fin!,filled with sample,,filled with sample,,,TRUE,13-Aug-2024,,,,
7/5/2024,H,M,1,14,L,low,prawn,9,F,freeze,1L9F,dark purple,fin!,filled with sample,,filled with sample,,,TRUE,13-Aug-2024,,,,
7/5/2024,H,M,1,15,M,mid,prawn,9,F,freeze,1M9F,dark purple,fin!,filled with sample,,filled with sample,,,TRUE,13-Aug-2024,,,,
7/5/2024,H,M,1,16,H,high,prawn,9,F,freeze,1H9F,dark purple,fin!,filled with sample,,filled with sample,,,TRUE,20-Aug-2024,,,,
7/5/2024,H,M,1,21,C,control,gastrula,14,F,freeze,1C14F,lime green ,fin!,filled with sample,,filled with sample,,,TRUE,21-Aug-2024,,,,
7/5/2024,H,M,1,22,L,low,gastrula,14,F,freeze,1L14F,lime green ,fin!,filled with sample,,filled with sample,,,TRUE,14-Aug-2024,,,,
7/5/2024,H,M,1,23,M,mid,gastrula,14,F,freeze,1M14F,lime green ,fin!,filled with sample,,filled with sample,,,TRUE,26-Aug-2024,,,,
7/5/2024,H,M,1,24,H,high,gastrula,14,F,freeze,1H14F,lime green ,fin!,filled with sample,,filled with sample,,,TRUE,14-Aug-2024,,,,
7/5/2024,30-Orange,1-White,2,29,C,control,cleavage,4,F,freeze,2C4F,yellow green,fin!,filled with sample,,filled with sample,,poor viability,TRUE,14-Aug-2024,,,,
7/5/2024,30-Orange,1-White,2,30,L,low,cleavage,4,F,freeze,2L4F,yellow green,fin!,filled with sample,,filled with sample,,poor viability,TRUE,16-Aug-2024,,,,
7/5/2024,30-Orange,1-White,2,31,M,mid,cleavage,4,F,freeze,2M4F,yellow green,fin!,filled with sample,,filled with sample,,poor viability,TRUE,14-Aug-2024,,,,
7/5/2024,30-Orange,1-White,2,32,H,high,cleavage,4,F,freeze,2H4F,yellow green,fin!,filled with sample,,filled with sample,,poor viability,TRUE,19-Aug-2024,,,,
7/5/2024,30-Orange,1-White,2,37,C,control,prawn,9,F,freeze,2C9F,dark purple,fin!,filled with sample,,filled with sample,,poor viability,TRUE,13-Aug-2024,,,,
7/5/2024,30-Orange,1-White,2,38,L,low,prawn,9,F,freeze,2L9F,dark purple,fin!,filled with sample,,filled with sample,,poor viability,TRUE,13-Aug-2024,,,,
7/5/2024,30-Orange,1-White,2,39,M,mid,prawn,9,F,freeze,2M9F,dark purple,fin!,filled with sample,,filled with sample,,poor viability,TRUE,13-Aug-2024,,,,
7/5/2024,30-Orange,1-White,2,40,H,high,prawn,9,F,freeze,2H9F,dark purple,fin!,filled with sample,,filled with sample,,poor viability,TRUE,20-Aug-2024,,,,
7/5/2024,30-Orange,1-White,2,45,C,control,gastrula,14,F,freeze,2C14F,lime green ,fin!,filled with sample,,filled with sample,,poor viability,TRUE,21-Aug-2024,,,,
7/5/2024,30-Orange,1-White,2,46,L,low,gastrula,14,F,freeze,2L14F,lime green ,fin!,filled with sample,,filled with sample,,poor viability,TRUE,14-Aug-2024,,,,
7/5/2024,30-Orange,1-White,2,47,M,mid,gastrula,14,F,freeze,2M14F,lime green ,fin!,filled with sample,,filled with sample,,poor viability,FALSE,NA,no sample,,,
7/5/2024,30-Orange,1-White,2,48,H,high,gastrula,14,F,freeze,2H14F,lime green ,fin!,filled with sample,,filled with sample,,poor viability,TRUE,14-Aug-2024,,,,
7/5/2024,D,N,3,53,C,control,cleavage,4,F,freeze,3C4F,yellow green,fin!,filled with sample,,filled with sample,,D bundles pale,TRUE,14-Aug-2024,,,,
7/5/2024,D,N,3,54,L,low,cleavage,4,F,freeze,3L4F,yellow green,fin!,filled with sample,,filled with sample,,D bundles pale,TRUE,16-Aug-2024,,,,
7/5/2024,D,N,3,55,M,mid,cleavage,4,F,freeze,3M4F,yellow green,fin!,filled with sample,,filled with sample,,D bundles pale,TRUE,14-Aug-2024,,,,
7/5/2024,D,N,3,56,H,high,cleavage,4,F,freeze,3H4F,yellow green,fin!,filled with sample,,filled with sample,,D bundles pale,TRUE,19-Aug-2024,,,,
7/5/2024,M,N,3,61,C,control,prawn,9,F,freeze,3C9F,dark purple,fin!,filled with sample,,filled with sample,,,TRUE,13-Aug-2024,,,,
7/5/2024,M,N,3,62,L,low,prawn,9,F,freeze,3L9F,dark purple,fin!,filled with sample,,filled with sample,,,TRUE,13-Aug-2024,,,,
7/5/2024,D,N,3,63,M,mid,prawn,9,F,freeze,3M9F,dark purple,fin!,filled with sample,,filled with sample,,D bundles pale,TRUE,13-Aug-2024,,,,
