"sample_name","embryo_no","embryo_phase","status","notes"
"3C4",1,"egg","uncertain","disintegrating"
"3C4",2,"32to64cell","typical",NA
"3C4",3,"egg","typical",NA
"3C4",4,"4to16cell","typical",NA
"3C4",5,"32to64cell","typical",NA
"3C4",6,"egg","typical",NA
"3C4",7,"egg","typical",NA
"3C4",8,"4to16cell","typical",NA
"3C4",9,"egg","typical",NA
"3C4",10,"32to64cell","typical",NA
"3C4",11,"32to64cell","typical",NA
"3C4",12,"32to64cell","typical",NA
"3C4",13,"4to16cell","typical",NA
"3C4",14,"cleavage","uncertain","disintegrating"
"3C4",15,"32to64cell","typical",NA
"3C4",16,"egg","typical",NA
"3C4",17,"egg","typical",NA
"3C4",18,"32to64cell","typical",NA
"3C4",19,"egg","typical",NA
"3C4",20,"32to64cell","typical",NA
"3C4",21,"32to64cell","typical",NA
"3C4",22,"egg","typical",NA
"3C4",23,"4to16cell","typical",NA
"3C4",24,"32to64cell","typical",NA
"3C4",25,"egg","typical",NA
"3C4",26,"cleavage","typical",NA
"3C4",27,"egg","typical",NA
"3C4",28,"egg","typical",NA
"3C4",29,"32to64cell","typical",NA
"3C4",30,"32to64cell","typical",NA
"3C4",31,"4to16cell","typical",NA
"3C4",32,"egg","typical",NA
"3C4",33,"egg","typical",NA
