"sample_name","embryo_no","embryo_phase","status","notes"
"3M4",1,"cleavage","typical",NA
"3M4",2,"4to16cell","typical",NA
"3M4",3,"egg","typical",NA
"3M4",4,"4to16cell","typical",NA
"3M4",5,"egg","typical",NA
"3M4",6,"egg","typical",NA
"3M4",7,"4to16cell","typical",NA
"3M4",8,"4to16cell","typical",NA
"3M4",9,"cleavage","typical",NA
"3M4",10,"4to16cell","typical",NA
"3M4",11,"cleavage","typical",NA
"3M4",12,"cleavage","typical",NA
"3M4",13,"4to16cell","typical",NA
"3M4",14,"egg","typical",NA
"3M4",15,"cleavage","typical","incomplete"
"3M4",16,"egg","typical",NA
"3M4",17,"4to16cell","typical",NA
"3M4",18,"cleavage","typical",NA
"3M4",19,"cleavage","typical",NA
"3M4",20,"egg","uncertain",NA
"3M4",21,"egg","typical",NA
"3M4",22,"egg","typical",NA
"3M4",23,"egg","typical",NA
"3M4",24,"egg","typical",NA
"3M4",25,"egg","typical",NA
"3M4",26,"egg","typical",NA
"3M4",27,"32to64cell","typical",NA
"3M4",28,"egg","typical",NA
