"sample_name","embryo_no","embryo_phase","status","notes"
"4L4",1,"cleavage","malformed",NA
"4L4",2,"4to16cell","typical",NA
"4L4",3,"cleavage","typical",NA
"4L4",4,"4to16cell","typical","incomplete"
"4L4",5,"egg","typical",NA
"4L4",6,"cleavage","typical",NA
"4L4",7,"egg","typical",NA
"4L4",8,"egg","typical",NA
"4L4",9,"cleavage","typical",NA
"4L4",10,"egg","typical",NA
"4L4",11,"cleavage","typical","incomplete"
"4L4",12,"egg","typical",NA
"4L4",13,"4to16cell","typical",NA
"4L4",14,"4to16cell","typical",NA
"4L4",15,"cleavage","typical",NA
"4L4",16,"cleavage","typical",NA
"4L4",17,"egg","typical",NA
"4L4",18,"egg","typical",NA
"4L4",19,"egg","typical",NA
"4L4",20,"egg","typical",NA
"4L4",21,"egg","typical",NA
"4L4",22,"egg","typical",NA
"4L4",23,"egg","typical",NA
"4L4",24,"egg","typical",NA
"4L4",25,"egg","typical",NA
"4L4",26,"4to16cell","typical",NA
"4L4",27,"egg","typical",NA
"4L4",28,"cleavage","typical",NA
"4L4",29,"4to16cell","typical",NA
"4L4",30,"egg","typical",NA
"4L4",31,"4to16cell","typical",NA
"4L4",32,"4to16cell","typical",NA
"4L4",33,"egg","typical",NA
"4L4",34,"4to16cell","typical",NA
