"sample_name","embryo_no","embryo_phase","status","notes"
"6L4",1,"egg","typical",NA
"6L4",2,"egg","typical",NA
"6L4",3,"egg","typical",NA
"6L4",4,"egg","typical",NA
"6L4",5,"egg","typical",NA
"6L4",6,"egg","typical",NA
"6L4",7,"egg","typical",NA
"6L4",8,"egg","typical",NA
"6L4",9,"egg","typical",NA
"6L4",10,"egg","typical",NA
"6L4",11,"egg","typical",NA
"6L4",12,"egg","typical",NA
"6L4",13,"egg","typical",NA
"6L4",14,"egg","typical",NA
"6L4",15,"egg","typical",NA
"6L4",16,"egg","typical",NA
"6L4",17,"egg","typical",NA
"6L4",18,"egg","typical",NA
"6L4",19,"egg","typical",NA
"6L4",20,"egg","typical",NA
"6L4",21,"egg","typical",NA
"6L4",22,"egg","typical",NA
"6L4",23,"egg","typical",NA
"6L4",24,"egg","typical",NA
"6L4",25,"egg","typical",NA
"6L4",26,"egg","typical",NA
"6L4",27,"egg","typical",NA
"6L4",28,"egg","typical",NA
"6L4",29,"egg","typical",NA
"6L4",30,"egg","typical",NA
"6L4",31,"egg","typical",NA
"6L4",32,"egg","typical",NA
"6L4",33,"egg","uncertain",NA
"6L4",34,"egg","typical",NA
