"sample_name","embryo_no","embryo_phase","status","notes"
"9H9",1,"prawnchip","uncertain","torn"
"9H9",2,"prawnchip","typical",NA
"9H9",3,"prawnchip","typical",NA
"9H9",4,"prawnchip","typical",NA
"9H9",5,"prawnchip","typical",NA
"9H9",6,"prawnchip","typical",NA
"9H9",7,"prawnchip","typical",NA
"9H9",8,"prawnchip","typical",NA
"9H9",9,"prawnchip","typical",NA
"9H9",10,"prawnchip","typical",NA
"9H9",11,"prawnchip","typical",NA
"9H9",12,"prawnchip","typical",NA
"9H9",13,"prawnchip","typical",NA
"9H9",14,"prawnchip","typical",NA
"9H9",15,"prawnchip","uncertain","torn"
"9H9",16,"prawnchip","typical",NA
"9H9",17,"prawnchip","typical",NA
"9H9",18,"prawnchip","typical",NA
"9H9",19,"prawnchip","uncertain","torn"
"9H9",20,"prawnchip","typical",NA
"9H9",21,"prawnchip","typical",NA
