sample_id,treatment,hpf,date,stage,n
10C14,control,14,2024-06-07,egg,0
10C14,control,14,2024-06-07,cleavage,0
10C14,control,14,2024-06-07,morula,0
10C14,control,14,2024-06-07,prawnchip,0
10C14,control,14,2024-06-07,earlygastrula,23
10C4,control,4,2024-06-07,egg,9
10C4,control,4,2024-06-07,cleavage,12
10C4,control,4,2024-06-07,morula,8
10C4,control,4,2024-06-07,prawnchip,0
10C4,control,4,2024-06-07,earlygastrula,0
10C9,control,9,2024-06-07,egg,0
10C9,control,9,2024-06-07,cleavage,0
10C9,control,9,2024-06-07,morula,1
10C9,control,9,2024-06-07,prawnchip,18
10C9,control,9,2024-06-07,earlygastrula,0
10H14,high,14,2024-06-07,egg,0
10H14,high,14,2024-06-07,cleavage,0
10H14,high,14,2024-06-07,morula,0
10H14,high,14,2024-06-07,prawnchip,0
10H14,high,14,2024-06-07,earlygastrula,15
10H4,high,4,2024-06-07,egg,10
10H4,high,4,2024-06-07,cleavage,7
10H4,high,4,2024-06-07,morula,4
10H4,high,4,2024-06-07,prawnchip,0
10H4,high,4,2024-06-07,earlygastrula,0
10H9,high,9,2024-06-07,egg,0
10H9,high,9,2024-06-07,cleavage,0
10H9,high,9,2024-06-07,morula,0
10H9,high,9,2024-06-07,prawnchip,20
10H9,high,9,2024-06-07,earlygastrula,0
10L14,low,14,2024-06-07,egg,1
10L14,low,14,2024-06-07,cleavage,0
10L14,low,14,2024-06-07,morula,0
10L14,low,14,2024-06-07,prawnchip,1
10L14,low,14,2024-06-07,earlygastrula,13
10L4,low,4,2024-06-07,egg,9
10L4,low,4,2024-06-07,cleavage,8
10L4,low,4,2024-06-07,morula,10
10L4,low,4,2024-06-07,prawnchip,0
10L4,low,4,2024-06-07,earlygastrula,0
10L9,low,9,2024-06-07,egg,0
10L9,low,9,2024-06-07,cleavage,0
10L9,low,9,2024-06-07,morula,0
10L9,low,9,2024-06-07,prawnchip,28
10L9,low,9,2024-06-07,earlygastrula,0
10M14,mid,14,2024-06-07,egg,0
10M14,mid,14,2024-06-07,cleavage,0
10M14,mid,14,2024-06-07,morula,0
10M14,mid,14,2024-06-07,prawnchip,0
10M14,mid,14,2024-06-07,earlygastrula,21
10M4,mid,4,2024-06-07,egg,9
10M4,mid,4,2024-06-07,cleavage,11
10M4,mid,4,2024-06-07,morula,11
10M4,mid,4,2024-06-07,prawnchip,0
10M4,mid,4,2024-06-07,earlygastrula,0
10M9,mid,9,2024-06-07,egg,0
10M9,mid,9,2024-06-07,cleavage,0
10M9,mid,9,2024-06-07,morula,0
10M9,mid,9,2024-06-07,prawnchip,15
10M9,mid,9,2024-06-07,earlygastrula,0
1C14,control,14,2024-05-07,egg,0
1C14,control,14,2024-05-07,cleavage,0
1C14,control,14,2024-05-07,morula,0
1C14,control,14,2024-05-07,prawnchip,0
1C14,control,14,2024-05-07,earlygastrula,10
1C4,control,4,2024-05-07,egg,15
1C4,control,4,2024-05-07,cleavage,1
1C4,control,4,2024-05-07,morula,7
1C4,control,4,2024-05-07,prawnchip,0
1C4,control,4,2024-05-07,earlygastrula,0
1C9,control,9,2024-05-07,egg,0
1C9,control,9,2024-05-07,cleavage,0
1C9,control,9,2024-05-07,morula,1
1C9,control,9,2024-05-07,prawnchip,3
1C9,control,9,2024-05-07,earlygastrula,0
1H14,high,14,2024-05-07,egg,0
1H14,high,14,2024-05-07,cleavage,0
1H14,high,14,2024-05-07,morula,0
1H14,high,14,2024-05-07,prawnchip,1
1H14,high,14,2024-05-07,earlygastrula,8
1H4,high,4,2024-05-07,egg,13
1H4,high,4,2024-05-07,cleavage,4
1H4,high,4,2024-05-07,morula,8
1H4,high,4,2024-05-07,prawnchip,0
1H4,high,4,2024-05-07,earlygastrula,0
1H9,high,9,2024-05-07,egg,0
1H9,high,9,2024-05-07,cleavage,0
1H9,high,9,2024-05-07,morula,0
1H9,high,9,2024-05-07,prawnchip,6
1H9,high,9,2024-05-07,earlygastrula,0
1L14,low,14,2024-05-07,egg,0
1L14,low,14,2024-05-07,cleavage,0
1L14,low,14,2024-05-07,morula,0
1L14,low,14,2024-05-07,prawnchip,1
1L14,low,14,2024-05-07,earlygastrula,7
1L4,low,4,2024-05-07,egg,10
1L4,low,4,2024-05-07,cleavage,2
1L4,low,4,2024-05-07,morula,9
1L4,low,4,2024-05-07,prawnchip,0
1L4,low,4,2024-05-07,earlygastrula,0
1L9,low,9,2024-05-07,egg,0
1L9,low,9,2024-05-07,cleavage,0
1L9,low,9,2024-05-07,morula,0
1L9,low,9,2024-05-07,prawnchip,9
1L9,low,9,2024-05-07,earlygastrula,0
1M14,mid,14,2024-05-07,egg,0
1M14,mid,14,2024-05-07,cleavage,0
1M14,mid,14,2024-05-07,morula,0
1M14,mid,14,2024-05-07,prawnchip,0
1M14,mid,14,2024-05-07,earlygastrula,3
1M4,mid,4,2024-05-07,egg,19
1M4,mid,4,2024-05-07,cleavage,2
1M4,mid,4,2024-05-07,morula,3
1M4,mid,4,2024-05-07,prawnchip,0
1M4,mid,4,2024-05-07,earlygastrula,0
1M9,mid,9,2024-05-07,egg,0
1M9,mid,9,2024-05-07,cleavage,0
1M9,mid,9,2024-05-07,morula,1
1M9,mid,9,2024-05-07,prawnchip,11
1M9,mid,9,2024-05-07,earlygastrula,0
3C14,control,14,2024-05-07,egg,0
3C14,control,14,2024-05-07,cleavage,0
3C14,control,14,2024-05-07,morula,0
3C14,control,14,2024-05-07,prawnchip,0
3C14,control,14,2024-05-07,earlygastrula,7
3C4,control,4,2024-05-07,egg,14
3C4,control,4,2024-05-07,cleavage,2
3C4,control,4,2024-05-07,morula,17
3C4,control,4,2024-05-07,prawnchip,0
3C4,control,4,2024-05-07,earlygastrula,0
3C9,control,9,2024-05-07,egg,0
3C9,control,9,2024-05-07,cleavage,0
3C9,control,9,2024-05-07,morula,0
3C9,control,9,2024-05-07,prawnchip,13
3C9,control,9,2024-05-07,earlygastrula,0
3H14,high,14,2024-05-07,egg,0
3H14,high,14,2024-05-07,cleavage,0
3H14,high,14,2024-05-07,morula,0
3H14,high,14,2024-05-07,prawnchip,0
3H14,high,14,2024-05-07,earlygastrula,2
3H4,high,4,2024-05-07,egg,18
3H4,high,4,2024-05-07,cleavage,2
3H4,high,4,2024-05-07,morula,10
3H4,high,4,2024-05-07,prawnchip,0
3H4,high,4,2024-05-07,earlygastrula,0
3H9,high,9,2024-05-07,egg,0
3H9,high,9,2024-05-07,cleavage,0
3H9,high,9,2024-05-07,morula,0
3H9,high,9,2024-05-07,prawnchip,9
3H9,high,9,2024-05-07,earlygastrula,0
3L14,low,14,2024-05-07,egg,0
3L14,low,14,2024-05-07,cleavage,0
3L14,low,14,2024-05-07,morula,0
3L14,low,14,2024-05-07,prawnchip,0
3L14,low,14,2024-05-07,earlygastrula,3
3L4,low,4,2024-05-07,egg,13
3L4,low,4,2024-05-07,cleavage,3
3L4,low,4,2024-05-07,morula,4
3L4,low,4,2024-05-07,prawnchip,0
3L4,low,4,2024-05-07,earlygastrula,0
3L9,low,9,2024-05-07,egg,0
3L9,low,9,2024-05-07,cleavage,0
3L9,low,9,2024-05-07,morula,0
3L9,low,9,2024-05-07,prawnchip,0
3L9,low,9,2024-05-07,earlygastrula,0
3M14,mid,14,2024-05-07,egg,0
