treatment,status,hpf,mean_prop
control,malformed,4,0.015942028985507246
control,malformed,9,0.04747162022703818
control,malformed,14,0.06421488503868367
control,typical,4,0.9598155467720685
control,typical,9,0.804641624731064
control,typical,14,0.8641007890570416
control,uncertain,4,0.024242424242424246
control,uncertain,9,0.1478867550418978
control,uncertain,14,0.07168432590427475
low,malformed,4,0.028216533526991043
low,malformed,9,0.08402014652014651
low,malformed,14,0.03597883597883598
low,typical,4,0.9456980322993395
low,typical,9,0.7474931318681319
low,typical,14,0.8799525365701837
low,uncertain,4,0.026085434173669465
low,uncertain,9,0.1684867216117216
low,uncertain,14,0.0840686274509804
mid,malformed,4,0.039959890766342376
mid,malformed,9,0.10170940170940171
mid,malformed,14,0.11347849681183014
mid,typical,4,0.9429999598405671
mid,typical,9,0.7635124135124135
mid,typical,14,0.8328707095373762
mid,uncertain,4,0.017040149393090568
mid,uncertain,9,0.1347781847781848
mid,uncertain,14,0.05365079365079365
high,malformed,4,0.009735449735449734
high,malformed,9,0.07708333333333334
high,malformed,14,0.0455026455026455
high,typical,4,0.9858201058201058
high,typical,9,0.7502587991718427
high,typical,14,0.716931216931217
high,uncertain,4,0.0044444444444444444
high,uncertain,9,0.172657867494824
high,uncertain,14,0.23756613756613756
