sample_id,treatment,hpf,date,n_typical,n_uncertain,n_malformed
10C14,control,14,2024-06-07,20,1,2
10C4,control,4,2024-06-07,29,0,0
10C9,control,9,2024-06-07,14,2,3
10H14,high,14,2024-06-07,8,3,4
10H4,high,4,2024-06-07,20,0,1
10H9,high,9,2024-06-07,17,2,1
10L14,low,14,2024-06-07,13,0,2
10L4,low,4,2024-06-07,26,0,1
10L9,low,9,2024-06-07,18,7,3
10M14,mid,14,2024-06-07,19,0,2
10M4,mid,4,2024-06-07,30,0,1
10M9,mid,9,2024-06-07,13,0,2
1C14,control,14,2024-05-07,10,0,0
1C4,control,4,2024-05-07,22,0,1
1C9,control,9,2024-05-07,4,0,0
1H14,high,14,2024-05-07,9,0,0
1H4,high,4,2024-05-07,25,0,0
1H9,high,9,2024-05-07,2,1,3
1L14,low,14,2024-05-07,8,0,0
1L4,low,4,2024-05-07,18,3,0
1L9,low,9,2024-05-07,9,0,0
1M14,mid,14,2024-05-07,2,0,1
1M4,mid,4,2024-05-07,23,0,1
1M9,mid,9,2024-05-07,8,1,3
3C14,control,14,2024-05-07,7,0,0
3C4,control,4,2024-05-07,31,2,0
3C9,control,9,2024-05-07,11,2,0
3H14,high,14,2024-05-07,1,1,0
3H4,high,4,2024-05-07,30,0,0
3H9,high,9,2024-05-07,9,0,0
3L14,low,14,2024-05-07,3,0,0
3L4,low,4,2024-05-07,20,0,0
3L9,low,9,2024-05-07,0,0,0
3M14,mid,14,2024-05-07,12,1,2
3M4,mid,4,2024-05-07,27,1,0
3M9,mid,9,2024-05-07,3,1,0
4C14,control,14,2024-05-07,8,1,1
4C4,control,4,2024-05-07,25,2,3
4C9,control,9,2024-05-07,13,3,1
4H14,high,14,2024-05-07,6,4,0
4H4,high,4,2024-05-07,25,0,0
4H9,high,9,2024-05-07,3,1,0
4L14,low,14,2024-05-07,13,2,0
4L4,low,4,2024-05-07,33,0,1
4L9,low,9,2024-05-07,3,2,1
4M14,mid,14,2024-05-07,14,1,0
4M4,mid,4,2024-05-07,27,0,0
4M9,mid,9,2024-05-07,8,2,0
5C14,control,14,2024-05-07,7,3,0
5C4,control,4,2024-05-07,26,0,0
5C9,control,9,2024-05-07,2,0,0
5H14,high,14,2024-05-07,1,2,0
5H4,high,4,2024-05-07,26,0,0
5H9,high,9,2024-05-07,11,3,1
5L14,low,14,2024-05-07,12,5,0
5L4,low,4,2024-05-07,30,0,0
5L9,low,9,2024-05-07,9,4,1
5M14,mid,14,2024-05-07,12,2,0
5M4,mid,4,2024-05-07,26,0,0
5M9,mid,9,2024-05-07,10,2,3
6C14,control,14,2024-06-07,16,1,0
6C4,control,4,2024-06-07,32,0,0
6C9,control,9,2024-06-07,10,4,0
6H14,high,14,2024-06-07,11,1,2
6H4,high,4,2024-06-07,27,0,0
6H9,high,9,2024-06-07,15,8,0
6L14,low,14,2024-06-07,15,1,0
6L4,low,4,2024-06-07,33,1,0
6L9,low,9,2024-06-07,20,0,0
6M14,mid,14,2024-06-07,7,0,2
6M4,mid,4,2024-06-07,15,2,0
6M9,mid,9,2024-06-07,22,6,0
7C14,control,14,2024-06-07,4,1,2
7C4,control,4,2024-06-07,25,0,0
7C9,control,9,2024-06-07,7,6,0
7H14,high,14,2024-06-07,9,1,0
7H4,high,4,2024-06-07,31,0,0
7H9,high,9,2024-06-07,0,0,0
7L14,low,14,2024-06-07,11,4,0
7L4,low,4,2024-06-07,26,0,0
7L9,low,9,2024-06-07,4,1,0
7M14,mid,14,2024-06-07,9,2,1
7M4,mid,4,2024-06-07,29,0,0
7M9,mid,9,2024-06-07,10,1,1
8C14,control,14,2024-06-07,6,0,0
8C4,control,4,2024-06-07,27,0,0
8C9,control,9,2024-06-07,23,4,0
8H14,high,14,2024-06-07,14,1,0
8H4,high,4,2024-06-07,23,1,1
8H9,high,9,2024-06-07,19,4,0
8L14,low,14,2024-06-07,17,0,4
8L4,low,4,2024-06-07,30,0,0
8L9,low,9,2024-06-07,20,4,2
8M14,mid,14,2024-06-07,22,0,4
8M4,mid,4,2024-06-07,15,0,6
8M9,mid,9,2024-06-07,20,3,3
9C14,control,14,2024-06-07,17,0,2
9C4,control,4,2024-06-07,20,2,0
9C9,control,9,2024-06-07,15,0,4
9H14,high,14,2024-06-07,13,2,0
9H4,high,4,2024-06-07,26,0,0
9H9,high,9,2024-06-07,18,3,0
9L14,low,14,2024-06-07,11,0,0
9L4,low,4,2024-06-07,24,2,6
9L9,low,9,2024-06-07,10,2,4
9M14,mid,14,2024-06-07,24,1,0
9M4,mid,4,2024-06-07,21,0,0
9M9,mid,9,2024-06-07,11,2,2
