treatment,stage,hpf,mean_prop
control,cleavage,4,0.1434005219612416
control,cleavage,9,0.005847953216374269
control,cleavage,14,0
control,earlygastrula,4,0
control,earlygastrula,9,0
control,earlygastrula,14,0.8952380952380953
control,egg,4,0.6534859954983226
control,egg,9,0.06654456654456654
control,egg,14,0
control,morula,4,0.20311348254043574
control,morula,9,0.09869224342908553
control,morula,14,0.015873015873015872
control,prawnchip,4,0
control,prawnchip,9,0.8289152368099737
control,prawnchip,14,0.08888888888888889
low,cleavage,4,0.2018235380571982
low,cleavage,9,0
low,cleavage,14,0
low,earlygastrula,4,0
low,earlygastrula,9,0
low,earlygastrula,14,0.9712962962962963
low,egg,4,0.6080026455026455
low,egg,9,0
low,egg,14,0.007407407407407408
low,morula,4,0.1901738164401563
low,morula,9,0.07095352564102564
low,morula,14,0
low,prawnchip,4,0
low,prawnchip,9,0.9290464743589744
low,prawnchip,14,0.021296296296296296
mid,cleavage,4,0.17993210824752043
mid,cleavage,9,0
mid,cleavage,14,0
mid,earlygastrula,4,0
mid,earlygastrula,9,0
mid,earlygastrula,14,1
mid,egg,4,0.5982995333353757
mid,egg,9,0.031216931216931216
mid,egg,14,0
mid,morula,4,0.22176835841710393
mid,morula,9,0.03386243386243386
mid,morula,14,0
mid,prawnchip,4,0
mid,prawnchip,9,0.9349206349206349
mid,prawnchip,14,0
high,cleavage,4,0.13299145299145299
high,cleavage,9,0
high,cleavage,14,0
high,earlygastrula,4,0
high,earlygastrula,9,0
high,earlygastrula,14,0.8680776014109347
high,egg,4,0.6806023606023606
high,egg,9,0.08695652173913043
high,egg,14,0.011111111111111112
high,morula,4,0.1864061864061864
high,morula,9,0
high,morula,14,0
high,prawnchip,4,0
high,prawnchip,9,0.9130434782608695
high,prawnchip,14,0.12081128747795414
